Acc No,ISBN,Title,Author,System Status
,9788126511082,Introductory Mycology,C.J Alexopoulos,Issued
,9789325990227,Text Book of Algae,Ashok Kumar Awasthi,Available
,9788125905691,An Introduction To Bryophyta Diversity Development,A.Rashid,Available
,9780195637489,Botany for Degree Students,A C Dutta,Available
,9788126574827,Essentials of Ecology,Michael Begon,Available
,81239016410,A Dictionary of Botany,Georg Usher,Available
,8123902719,Practical Pharmacognosy,Rasheed uz Zafar,Available
,9788174734327,Economic Botany,P.C Das,Available
,9788121935061,Modern Practical Botany Volume III,Dr. B.P Pandey,Available
,9788121909327,Taxonomy of Angiosperms,B.P Pandey,Available
,9788123902784,Text Book of Pharmacognosy According to new,Mohammad Ali,Available
,9788121912709,Cytogenetics Evoluation Biostatlistics And Plant Breeding,Dr R s Shukla And Dr,Available
,9788123900490,A Text Book of Algae,K S Bilgrami And LC Sah,Available
,9788123916002,A Text of Plant Ecology,K S Ambasht And N K An,Available
,9788126563203,Enviromental Microbilogy,Ralph Mitchell a Ji Don,Available
,9788123925325,A Text Book of Pharmacognosy Theory And Practicals,J.S Qadry,Available
,8123912714,Gymnosoerms Structure And Evolution,C J Chamberlain,Available
,8123902697,Handbook of Microbiology,P S Bisen,Available
,8123904940,A Concise Textbook of Botany Cryptogams and …,S S Choudharyand Prabi,Available
,9781108723053,Phycology,Robert Edward Lee,Available
,9788121905930,College Botany vol I Incloding Algae Fungal Lichens,Dr B P Pandey,Available
,9788121904049,A Textbook of Botany AnGiosperms Taxonomy,Dr B P Pandey,Available
,9788120326743,Crop Diseases And Their Management,"H S Chaube V S , V.S Pundhir",Available
,9788125918790,Plant Physiology,SN Pandey and Bk Sinha,Available
,9788121906272,A Text Book of Plant Physiology Biochemistry and Biotechnology,S K Verma And Mohit Verma,Available
,9788121935210,Botany for Degree Students Part-I Algae,B R Vashishta and ….,Available
,9780070141599,Plant Taxonomy,O P sharma,Available
